Sample No. – No. d’échantillon,Region - Région,Function,Fonction,Origin,Origine,Product,Produit,Date Sampled – Date d’échantillonage,Type of Test,Type d’analyse,Component,Composant,Result - Résultat,Unit - Unité,Plan Code - Code du régime,,,
C2013COUM00048,ATLANTIC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Black,Thé - Noir,20-Feb-14,COUMARIN,COUMARIN,Coumarin,La coumarine,62.4,µg/g,2013_TS020,,,
C2013COUM00049,ATLANTIC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Black,Thé - Noir,20-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,172,µg/g,2013_TS020,,,
C2013COUM00050,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,25-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,6.8,µg/g,2013_TS020,,,
C2013COUM00051,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bread - Other,Pain - Autre,28-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,10.6,µg/g,2013_TS020,,,
C2013COUM00052,ATLANTIC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,25-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,1.3,µg/g,2013_TS020,,,
C2013COUM00053,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Cookie,Biscuits,28-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,5.5,µg/g,2013_TS020,,,
C2013COUM00054,ONTARIO,Domestic,Domestique,CANADA,CANADA,Baking Mixes,Mélange à pâte,27-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,88.4,µg/g,2013_TS020,,,
C2013COUM00055,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Children,Céréales - Enfants,27-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,11.7,µg/g,2013_TS020,,,
C2013COUM00056,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Children,Céréales - Enfants,30-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,13.9,µg/g,2013_TS020,,,
C2013COUM00057,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Children,Céréales - Enfants,08-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,4.6,µg/g,2013_TS020,,,
