Sample No. – No. d’échantillon,Region - Région,Function,Fonction,Origin,Origine,Product,Produit,Date Sampled – Date d’échantillonage,Type of Test,Type d’analyse,Component,Composant,Result - Résultat,Unit - Unité,Plan Code - Code du régime,,,
C2013COUM00246,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bagel,Pain - Bagel,24-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,31.7,µg/g,2013_TS020,,,
C2013COUM00247,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,24-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1.7,µg/g,2013_TS020,,,
C2013COUM00248,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,24-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.2,µg/g,2013_TS020,,,
C2013COUM00249,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,24-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1,µg/g,2013_TS020,,,
C2013COUM00250,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Cereal - Children,Céréales - Enfants,24-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,4,µg/g,2013_TS020,,,
C2013COUM00251,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,24-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,4.2,µg/g,2013_TS020,,,
C2013COUM00252,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Cereal - Children,Céréales - Enfants,28-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.4,µg/g,2013_TS020,,,
C2013COUM00253,ONTARIO,Import,Importé,INDIA,INDE,Spice - Mixed,mélanges d'épices,24-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,33.5,µg/g,2013_TS020,,,
C2013COUM00254,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Dried mixes,Mélanges sec,24-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,37.2,µg/g,2013_TS020,,,
C2013COUM00255,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Dried mixes,Mélanges sec,24-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.5,µg/g,2013_TS020,,,
C2013COUM00256,ONTARIO,Domestic,Domestique,CANADA,CANADA,Granola/Cereal Bar,Barre Granola/de céréales,24-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0,µg/g,2013_TS020,,,
C2013COUM00257,ONTARIO,Import,Importé,SRI LANKA,SRI LANKA,Spice - Mixed,mélanges d'épices,24-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0,µg/g,2013_TS020,,,
C2013COUM00258,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Herbal,Thé - Herbal,24-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0,µg/g,2013_TS020,,,
C2013COUM00259,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Tea - Herbal,Thé - Herbal,24-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,380,µg/g,2013_TS020,,,
C2013COUM00260,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Tea - Herbal,Thé - Herbal,24-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1440,µg/g,2013_TS020,,,
C2013COUM00261,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,27-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,22.8,µg/g,2013_TS020,,,
C2013COUM00262,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,27-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,49.8,µg/g,2013_TS020,,,
C2013COUM00263,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,26-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,4.6,µg/g,2013_TS020,,,
C2013COUM00264,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baking Mixes,Mélange à pâte,26-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,6.9,µg/g,2013_TS020,,,
C2013COUM00265,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bagel,Pain - Bagel,26-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,29.9,µg/g,2013_TS020,,,
C2013COUM00266,ONTARIO,Domestic,Domestique,CANADA,CANADA,Cereal - Adult,Céréales - Adultes,27-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.5,µg/g,2013_TS020,,,
C2013COUM00267,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Cereal - Adult,Céréales - Adultes,26-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,11.1,µg/g,2013_TS020,,,
C2013COUM00268,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Cereal - Adult,Céréales - Adultes,26-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,17.2,µg/g,2013_TS020,,,
C2013COUM00269,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,26-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.2,µg/g,2013_TS020,,,
C2013COUM00270,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Cereal - Children,Céréales - Enfants,26-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,8,µg/g,2013_TS020,,,
C2013COUM00271,ONTARIO,Domestic,Domestique,CANADA,CANADA,Infant Food - Cereal,Céréales - Nourrissons,26-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.5,µg/g,2013_TS020,,,
C2013COUM00272,ONTARIO,Domestic,Domestique,CANADA,CANADA,Infant Food - Cereal,Céréales - Nourrissons,27-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1.6,µg/g,2013_TS020,,,
C2013COUM00273,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,27-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,950,µg/g,2013_TS020,,,
C2013COUM00274,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,27-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,969,µg/g,2013_TS020,,,
C2013COUM00275,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Black,Thé - Noir,27-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,151,µg/g,2013_TS020,,,
C2013COUM00276,ONTARIO,Domestic,Domestique,CANADA,CANADA,Tea - Herbal,Thé - Herbal,27-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,57.7,µg/g,2013_TS020,,,
C2013COUM00277,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Green,Thé - vert,27-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,164,µg/g,2013_TS020,,,
C2013COUM00278,ONTARIO,Domestic,Domestique,CANADA,CANADA,Tea - Herbal,Thé - Herbal,26-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,777,µg/g,2013_TS020,,,
C2013COUM00279,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Tea - Black,Thé - Noir,26-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,237,µg/g,2013_TS020,,,
C2013COUM00280,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baked Goods,Produits de boulangerie,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,52.6,µg/g,2013_TS020,,,
C2013COUM00281,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,7.4,µg/g,2013_TS020,,,
C2013COUM00282,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,29-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,32.2,µg/g,2013_TS020,,,
C2013COUM00283,ONTARIO,Domestic,Domestique,CANADA,CANADA,Baking Mixes,Mélange à pâte,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,12.6,µg/g,2013_TS020,,,
C2013COUM00284,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,79.3,µg/g,2013_TS020,,,
C2013COUM00285,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baking Mixes,Mélange à pâte,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,38.8,µg/g,2013_TS020,,,
C2013COUM00286,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bread - Other,Pain - Autre,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,21.8,µg/g,2013_TS020,,,
C2013COUM00287,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1,µg/g,2013_TS020,,,
C2013COUM00288,ONTARIO,Import,Importé,UNITED KINGDOM,ROYAUME-UNI,Cereal - Adult,Céréales - Adultes,11-Feb-14,COUMARIN,COUMARIN,Coumarin,La coumarine,0.9,µg/g,2013_TS020,,,
C2013COUM00289,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Cereal - Adult,Céréales - Adultes,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.6,µg/g,2013_TS020,,,
C2013COUM00290,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Cereal - Children,Céréales - Enfants,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.8,µg/g,2013_TS020,,,
C2013COUM00291,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Cereal - Children,Céréales - Enfants,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.6,µg/g,2013_TS020,,,
C2013COUM00292,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Cereal - Children,Céréales - Enfants,16-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,7.8,µg/g,2013_TS020,,,
C2013COUM00293,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Infant Food - Cereal,Céréales - Nourrissons,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,18.3,µg/g,2013_TS020,,,
C2013COUM00294,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Infant Food - Cereal,Céréales - Nourrissons,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.7,µg/g,2013_TS020,,,
C2013COUM00295,ONTARIO,Domestic,Domestique,CANADA,CANADA,Infant Food - Cereal,Céréales - Nourrissons,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1.5,µg/g,2013_TS020,,,
C2013COUM00296,ONTARIO,Domestic,Domestique,CANADA,CANADA,Infant Food - Cereal,Céréales - Nourrissons,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.5,µg/g,2013_TS020,,,
C2013COUM00297,ONTARIO,Import,Importé,SOUTH AFRICA,AFRIQUE DU SUD,Spice - Mixed,mélanges d'épices,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,190,µg/g,2013_TS020,,,
C2013COUM00298,ONTARIO,Import,Importé,INDIA,INDE,Spice - Mixed,mélanges d'épices,29-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,29.6,µg/g,2013_TS020,,,
C2013COUM00299,ONTARIO,Domestic,Domestique,CANADA,CANADA,Spice - Mixed,mélanges d'épices,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2260,µg/g,2013_TS020,,,
C2013COUM00300,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,262,µg/g,2013_TS020,,,
C2013COUM00301,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,188,µg/g,2013_TS020,,,
C2013COUM00302,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1110,µg/g,2013_TS020,,,
C2013COUM00303,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1900,µg/g,2013_TS020,,,
C2013COUM00304,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,279,µg/g,2013_TS020,,,
C2013COUM00305,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1620,µg/g,2013_TS020,,,
C2013COUM00306,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Black,Thé - Noir,29-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,35.5,µg/g,2013_TS020,,,
C2013COUM00307,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Herbal,Thé - Herbal,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,121,µg/g,2013_TS020,,,
C2013COUM00308,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Herbal,Thé - Herbal,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1670,µg/g,2013_TS020,,,
C2013COUM00309,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Herbal,Thé - Herbal,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1510,µg/g,2013_TS020,,,
C2013COUM00310,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Tea - Herbal,Thé - Herbal,19-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1670,µg/g,2013_TS020,,,
C2013COUM00311,ONTARIO,Domestic,Domestique,CANADA,CANADA,Bakery Product - Bread - Other,Pain - Autre,28-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,29.2,µg/g,2013_TS020,,,
C2013COUM00312,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,28-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,78.4,µg/g,2013_TS020,,,
C2013COUM00313,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baked Goods,Produits de boulangerie,28-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,18.7,µg/g,2013_TS020,,,
C2013COUM00314,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,29-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,4.2,µg/g,2013_TS020,,,
C2013COUM00315,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baking Mixes,Mélange à pâte,29-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,5.5,µg/g,2013_TS020,,,
C2013COUM00316,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,27-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,11.7,µg/g,2013_TS020,,,
C2013COUM00317,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baking Mixes,Mélange à pâte,29-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,6.4,µg/g,2013_TS020,,,
C2013COUM00318,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baking Mixes,Mélange à pâte,23-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,5.6,µg/g,2013_TS020,,,
C2013COUM00319,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bagel,Pain - Bagel,27-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,22.3,µg/g,2013_TS020,,,
C2013COUM00320,ONTARIO,Domestic,Domestique,CANADA,CANADA,Baked Goods,Produits de boulangerie,27-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,6.4,µg/g,2013_TS020,,,
C2013COUM00321,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,28-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,1.4,µg/g,2013_TS020,,,
C2013COUM00322,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Cereal - Adult,Céréales - Adultes,27-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,12,µg/g,2013_TS020,,,
C2013COUM00323,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,23-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,15.5,µg/g,2013_TS020,,,
C2013COUM00324,ONTARIO,Import,Importé,POLAND,POLOGNE,Cereal - Adult,Céréales - Adultes,23-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,5,µg/g,2013_TS020,,,
C2013COUM00325,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,27-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,1.9,µg/g,2013_TS020,,,
C2013COUM00326,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Cereal - Children,Céréales - Enfants,28-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,1.8,µg/g,2013_TS020,,,
C2013COUM00327,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Cereal - Children,Céréales - Enfants,29-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,2.5,µg/g,2013_TS020,,,
C2013COUM00328,ONTARIO,Domestic,Domestique,CANADA,CANADA,Infant Food - Cereal,Céréales - Nourrissons,28-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,2.3,µg/g,2013_TS020,,,
C2013COUM00329,ONTARIO,Domestic,Domestique,CANADA,CANADA,Bakery Product - Cookie,Biscuits,23-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,8.5,µg/g,2013_TS020,,,
C2013COUM00330,ONTARIO,Import,Importé,PAKISTAN,PAKISTAN,Spice - Mixed,mélanges d'épices,28-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,2.5,µg/g,2013_TS020,,,
C2013COUM00331,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Dried mixes,Mélanges sec,29-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,0.3,µg/g,2013_TS020,,,
C2013COUM00332,ONTARIO,Domestic,Domestique,CANADA,CANADA,Granola/Cereal Bar,Barre Granola/de céréales,23-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,2.5,µg/g,2013_TS020,,,
C2013COUM00333,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,27-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,105,µg/g,2013_TS020,,,
C2013COUM00334,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,23-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,32.9,µg/g,2013_TS020,,,
C2013COUM00335,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,27-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,307,µg/g,2013_TS020,,,
C2013COUM00336,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Tea - Black,Thé - Noir,29-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,2.9,µg/g,2013_TS020,,,
C2013COUM00337,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Other,Thé - Autre,29-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,34.4,µg/g,2013_TS020,,,
C2013COUM00338,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Tea - Herbal,Thé - Herbal,23-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,0.3,µg/g,2013_TS020,,,
C2013COUM00339,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Tea - Herbal,Thé - Herbal,23-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,12.4,µg/g,2013_TS020,,,
C2013COUM00340,ONTARIO,Import,Importé,POLAND,POLOGNE,Tea - Herbal,Thé - Herbal,23-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,35.9,µg/g,2013_TS020,,,
C2013COUM00341,QUEBEC,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,27-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1.8,µg/g,2013_TS020,,,
C2013COUM00342,QUEBEC,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bread - Other,Pain - Autre,29-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,15,µg/g,2013_TS020,,,
C2013COUM00343,QUEBEC,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,27-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,44.3,µg/g,2013_TS020,,,
C2013COUM00344,QUEBEC,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,10-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,6.4,µg/g,2013_TS020,,,
C2013COUM00345,QUEBEC,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,27-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.3,µg/g,2013_TS020,,,
C2013COUM00346,QUEBEC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baking Mixes,Mélange à pâte,11-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,28.6,µg/g,2013_TS020,,,
C2013COUM00347,QUEBEC,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bread - Other,Pain - Autre,27-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,21.1,µg/g,2013_TS020,,,
C2013COUM00348,QUEBEC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0,µg/g,2013_TS020,,,
C2013COUM00349,QUEBEC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,7.2,µg/g,2013_TS020,,,
C2013COUM00350,QUEBEC,Import,Importé,UNKNOWN,INCONNU,Cereal - Children,Céréales - Enfants,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,5.8,µg/g,2013_TS020,,,
C2013COUM00351,QUEBEC,Domestic,Domestique,CANADA,CANADA,Dried mixes,Mélanges sec,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0,µg/g,2013_TS020,,,
C2013COUM00352,QUEBEC,Unknown,Inconnu,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,114,µg/g,2013_TS020,,,
C2013COUM00353,QUEBEC,Domestic,Domestique,CANADA,CANADA,Spice - Mixed,mélanges d'épices,08-Aug-13,COUMARIN,COUMARIN,Coumarin,La coumarine,3.5,µg/g,2013_TS020,,,
C2013COUM00354,QUEBEC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Black,Thé - Noir,25-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,263,µg/g,2013_TS020,,,
C2013COUM00355,QUEBEC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Green,Thé - vert,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,315,µg/g,2013_TS020,,,
C2013COUM00356,QUEBEC,Unknown,Inconnu,UNKNOWN,INCONNU,Tea - Black,Thé - Noir,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,204,µg/g,2013_TS020,,,
C2013COUM00357,QUEBEC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Herbal,Thé - Herbal,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,928,µg/g,2013_TS020,,,
C2013COUM00358,QUEBEC,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,14-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,45.8,µg/g,2013_TS020,,,
C2013COUM00359,QUEBEC,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,07-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,17.9,µg/g,2013_TS020,,,
C2013COUM00360,QUEBEC,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,05-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1.5,µg/g,2013_TS020,,,
C2013COUM00361,QUEBEC,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,07-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,7.4,µg/g,2013_TS020,,,
C2013COUM00362,QUEBEC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Bakery Product - Bagel,Pain - Bagel,09-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,11.3,µg/g,2013_TS020,,,
C2013COUM00363,QUEBEC,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,09-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,47.5,µg/g,2013_TS020,,,
C2013COUM00364,QUEBEC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,05-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.4,µg/g,2013_TS020,,,
C2013COUM00365,QUEBEC,Domestic,Domestique,CANADA,CANADA,Oatmeal,Flocons d'avoine,06-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.1,µg/g,2013_TS020,,,
C2013COUM00366,QUEBEC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,07-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1.4,µg/g,2013_TS020,,,
C2013COUM00367,QUEBEC,Unknown,Inconnu,UNKNOWN,INCONNU,Cereal - Children,Céréales - Enfants,07-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1,µg/g,2013_TS020,,,
C2013COUM00368,QUEBEC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Children,Céréales - Enfants,06-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.9,µg/g,2013_TS020,,,
C2013COUM00369,QUEBEC,Domestic,Domestique,CANADA,CANADA,Infant Food - Cereal,Céréales - Nourrissons,05-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.5,µg/g,2013_TS020,,,
C2013COUM00370,QUEBEC,Domestic,Domestique,CANADA,CANADA,Bakery Product - Cookie,Biscuits,06-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.7,µg/g,2013_TS020,,,
